id;created_at;traffic_amount
4365;2022-01-14 15:49:51.365782;538
1700;2018-05-12 11:15:17.441444;535
4554;2022-06-28 16:47:11.778738;534
4113;2021-06-10 12:44:58.540298;533
4730;2022-11-26 17:58:06.221556;525
1247;2017-06-09 21:13:26.511337;507
3321;2019-05-25 21:19:51.865383;507
1022;2016-11-17 08:22:29.427262;492
2429;2018-08-24 14:40:00.042605;484
714;2016-02-08 17:39:29.113684;464
1050;2016-12-08 15:44:09.680563;460
2584;2018-11-26 17:48:39.408045;452
4349;2021-12-24 15:03:57.536469;438
635;2015-11-10 00:41:41.424702;415
1762;2018-06-07 16:50:59.289666;414
900;2016-07-22 19:57:25.297769;409
1176;2017-04-28 13:54:55.357282;409
1558;2018-02-03 22:27:48.193378;381
3599;2019-11-28 12:53:13.001416;361
2514;2018-10-04 00:15:24.193791;351
4530;2022-06-15 18:54:12.964832;343
4084;2021-05-18 09:23:34.321877;329
4043;2021-04-08 19:09:09.447114;326
1147;2017-03-21 16:12:36.720879;320
855;2016-05-25 12:40:53.133848;283
4013;2021-02-25 13:36:03.283587;253
1732;2018-05-29 10:33:56.310441;248
5084;2023-06-16 09:09:26.798589;246
4130;2021-06-23 20:43:43.261312;243
1245;2017-06-08 15:53:13.061446;238
1090;2017-01-23 09:11:35.268496;236
4602;2022-08-10 18:43:07.412410;236
1308;2017-07-22 07:27:04.036392;224
3399;2019-07-28 10:51:56.700338;213
4871;2023-03-21 21:23:04.829052;201
1673;2018-04-16 20:45:12.063889;198
45;2014-02-23 02:09:00.352801;196
1500;2017-11-25 09:44:52.571914;194
1498;2017-11-24 17:00:55.317690;193
2390;2018-08-16 13:30:16.769036;185
1356;2017-08-10 08:45:51.765484;181
999;2016-10-19 14:51:19.503756;179
1795;2018-06-25 15:21:47.475996;162
4782;2023-01-18 14:29:50.565207;159
239;2014-10-20 19:23:54.349971;155
3980;2021-01-08 10:48:58.751671;154
4879;2023-03-26 00:06:52.334357;154
4071;2021-05-06 21:03:09.796391;154
4693;2022-10-27 10:23:00.406715;152
4851;2023-03-11 12:15:49.460719;146
267;2014-11-21 11:09:54.594393;145
4509;2022-05-23 16:33:45.735610;143
1603;2018-03-14 16:22:35.750600;140
114;2014-07-17 11:46:55.138651;127
2124;2018-07-18 17:45:12.615288;127
3916;2020-09-11 15:09:58.398380;123
4225;2021-08-09 13:43:00.064154;118
1071;2016-12-28 11:56:32.906787;118
570;2015-09-06 19:25:46.162516;117
9;2013-10-11 00:46:06.811300;113
939;2016-08-30 11:28:07.237027;112
785;2016-03-27 12:35:39.379524;109
4953;2023-04-25 15:44:45.492609;108
1656;2018-04-11 04:57:58.218179;107
985;2016-10-10 09:37:13.162312;107
4920;2023-04-10 12:37:09.216114;100
4866;2023-03-19 15:19:29.801086;100
199;2014-09-25 10:51:23.487892;98
4925;2023-04-12 00:20:32.174791;96
2717;2019-03-24 14:35:18.076767;93
4668;2022-10-03 13:22:41.684076;92
291;2014-12-11 13:59:26.950638;89
938;2016-08-28 15:46:28.984610;88
3832;2020-05-08 16:53:45.981324;86
4424;2022-04-01 13:13:04.097036;82
127;2014-07-28 14:48:44.965304;81
320;2015-01-14 12:16:35.782878;81
4850;2023-03-11 07:26:40.576929;81
3365;2019-07-03 10:09:29.236471;79
962;2016-09-15 00:10:07.427585;75
4931;2023-04-14 10:16:15.214094;75
4756;2022-12-28 11:13:28.518494;74
4633;2022-09-01 14:57:21.984019;73
4652;2022-09-13 17:56:29.372725;73
4682;2022-10-17 13:43:59.302708;73
4872;2023-03-22 13:30:34.833749;72
4750;2022-12-20 00:22:05.851565;70
2784;2019-04-22 15:47:07.082205;69
1507;2017-12-01 13:13:24.181698;68
1535;2018-01-07 09:34:36.691172;67
266;2014-11-20 04:59:41.104578;63
3583;2019-11-13 10:41:23.922312;59
4738;2022-12-05 22:03:50.335972;58
957;2016-09-10 19:15:42.890415;58
4675;2022-10-10 20:39:18.933478;57
605;2015-10-14 13:40:18.498111;56
2533;2018-10-20 23:38:19.839647;54
154;2014-08-26 13:10:55.492260;53
1665;2018-04-13 07:10:57.537899;53
97;2014-06-18 03:50:32.216376;52
1652;2018-04-09 16:11:50.961444;52
5031;2023-05-20 21:27:27.576077;52
1597;2018-03-10 12:06:34.537791;52
393;2015-03-21 02:38:25.589883;52
1509;2017-12-04 09:33:01.041237;50
1475;2017-10-20 16:56:16.342082;49
2708;2019-03-18 16:40:25.128117;48
5042;2023-05-24 13:40:02.947650;46
5098;2023-06-27 13:44:19.263405;46
1686;2018-04-27 12:09:13.456083;46
4773;2023-01-14 05:35:20.591888;45
4785;2023-01-19 11:13:22.998621;43
2943;2019-04-25 12:56:55.060617;42
5026;2023-05-16 00:23:19.127438;41
4299;2021-11-04 09:00:55.197664;41
222;2014-10-13 23:41:58.354272;41
179;2014-09-16 17:57:53.501307;41
4588;2022-07-28 07:31:39.628019;41
4718;2022-11-16 12:52:31.735262;40
2148;2018-07-20 21:57:04.365894;39
660;2015-12-11 11:56:13.186739;37
3918;2020-09-13 14:09:25.546411;36
1079;2017-01-08 12:46:06.661811;36
323;2015-01-17 13:17:58.568560;36
400;2015-03-28 17:49:31.267794;35
4734;2022-11-30 12:32:43.106728;35
4202;2021-07-16 19:29:32.597017;34
4814;2023-02-13 11:31:32.778754;34
4863;2023-03-17 16:08:59.757148;34
106;2014-07-10 16:32:11.985627;33
826;2016-04-25 05:44:54.488072;33
483;2015-06-09 09:48:12.309395;33
3748;2020-03-08 17:32:55.856457;32
3059;2019-05-06 05:48:50.034234;32
1262;2017-06-26 15:18:33.051155;29
5094;2023-06-22 07:22:44.225939;29
3436;2019-08-27 11:42:31.134772;29
1063;2016-12-19 15:20:18.381637;29
1725;2018-05-25 11:11:32.535562;29
4591;2022-08-01 21:24:29.783210;28
3435;2019-08-26 17:23:38.878002;28
1467;2017-10-08 15:55:23.057648;27
3345;2019-06-09 17:53:04.664477;26
446;2015-05-03 13:56:24.787808;26
4254;2021-09-07 09:54:57.919443;25
1724;2018-05-23 23:37:08.034263;22
1272;2017-07-17 08:34:18.280978;21
5025;2023-05-15 14:40:56.049180;20
4803;2023-02-07 11:17:23.672633;20
4928;2023-04-12 22:37:31.297114;20
552;2015-08-19 10:15:47.054200;19
471;2015-05-19 08:15:00.127710;19
3813;2020-04-24 09:06:07.534152;19
351;2015-02-10 17:03:27.408309;18
974;2016-09-27 17:51:18.256190;18
4590;2022-08-01 13:56:38.712647;18
1041;2016-12-01 11:31:21.797823;18
1515;2017-12-07 23:10:08.712836;18
2519;2018-10-06 15:02:28.619429;17
3460;2019-09-22 20:26:25.209350;17
4883;2023-03-26 15:04:44.783634;16
1541;2018-01-12 14:32:49.242086;16
3831;2020-05-08 09:40:19.879385;15
172;2014-09-13 09:06:36.801202;15
1766;2018-06-10 12:51:03.085295;15
824;2016-04-24 16:17:31.750285;14
681;2016-01-07 02:43:52.102399;14
380;2015-03-09 15:27:03.480897;14
3357;2019-06-23 02:11:24.919242;14
4465;2022-04-29 09:11:33.250397;13
1190;2017-05-18 15:25:00.338838;12
1621;2018-03-23 23:23:13.385214;12
4572;2022-07-12 22:05:42.046441;12
4648;2022-09-09 16:46:56.569926;11
3753;2020-03-13 14:49:41.205295;11
4486;2022-05-08 20:58:45.133514;10
4838;2023-03-02 13:32:24.458336;10
2480;2018-09-16 08:26:08.463424;10
4121;2021-06-15 13:31:26.626244;9
4437;2022-04-13 23:16:29.230272;9
147;2014-08-17 15:46:49.384656;9
3335;2019-06-01 14:24:03.069264;9
769;2016-03-15 17:15:05.335328;9
4186;2021-07-05 10:05:22.197658;8
2113;2018-07-17 16:35:42.768552;8
2145;2018-07-20 16:44:45.358187;8
184;2014-09-18 16:41:44.659375;8
1144;2017-03-18 14:30:27.075770;8
2712;2019-03-21 10:41:57.682972;8
1793;2018-06-24 18:47:20.832159;8
4244;2021-08-26 01:18:06.521484;8
3735;2020-02-27 11:08:06.694452;8
3330;2019-05-30 10:05:53.852996;7
4709;2022-11-10 23:06:38.932594;7
4904;2023-04-04 11:11:57.935038;7
3628;2019-12-25 09:11:27.677996;7
4875;2023-03-23 12:10:56.023398;7
614;2015-10-18 19:04:30.000277;7
5054;2023-05-29 14:01:36.214404;7
3518;2019-10-14 09:13:11.491188;7
4955;2023-04-25 17:28:33.683816;7
4397;2022-02-21 13:23:06.090454;7
4887;2023-03-28 22:04:15.572604;7
3866;2020-06-07 13:19:54.272606;7
3848;2020-05-23 16:47:27.077347;6
160;2014-08-27 17:42:59.780609;6
3638;2020-01-10 06:52:25.288330;6
3633;2019-12-26 12:27:29.470186;6
5050;2023-05-28 18:01:04.892738;6
849;2016-05-17 23:16:28.193892;6
4021;2021-03-07 22:17:44.790204;6
3754;2020-03-14 15:56:29.665337;6
4128;2021-06-23 14:25:46.317935;6
4884;2023-03-26 17:44:02.172986;6
4800;2023-02-02 15:03:20.766985;6
2310;2018-08-03 12:02:19.941925;6
851;2016-05-19 17:27:49.706903;6
4997;2023-04-29 11:31:41.908391;6
57;2014-03-20 10:29:51.104950;6
1567;2018-02-08 13:31:41.909281;5
2455;2018-08-30 13:47:15.517568;5
3861;2020-06-03 14:38:17.345829;5
562;2015-08-28 20:05:12.850128;5
408;2015-04-01 16:45:45.580728;5
4039;2021-04-03 16:54:49.665793;5
136;2014-08-05 17:46:28.697206;5
5024;2023-05-14 18:33:52.834888;5
2633;2019-01-20 12:27:27.154496;5
4853;2023-03-12 01:06:00.257361;5
2421;2018-08-23 13:45:51.818122;5
3591;2019-11-20 13:53:38.448526;5
105;2014-07-09 10:16:54.918711;5
2642;2019-01-29 11:28:46.722784;5
1111;2017-02-10 00:57:19.637391;4
4422;2022-03-29 02:59:48.366198;4
1171;2017-04-24 14:05:42.789290;4
274;2014-11-24 23:33:21.348160;4
772;2016-03-18 11:41:20.639843;4
4428;2022-04-04 10:20:06.493744;4
4448;2022-04-19 17:59:27.723358;4
3581;2019-11-12 19:33:24.601100;4
344;2015-02-03 23:25:13.134414;4
2420;2018-08-23 11:39:42.595188;4
711;2016-02-04 18:44:50.574770;4
462;2015-05-13 11:54:14.885749;3
3727;2020-02-20 15:29:53.266840;3
4659;2022-09-20 17:50:50.199008;3
4607;2022-08-13 18:11:14.620480;3
4621;2022-08-25 10:35:58.894641;3
1406;2017-08-30 18:33:56.410645;3
986;2016-10-10 19:40:15.067609;3
4862;2023-03-16 16:51:51.087431;3
1085;2017-01-18 17:50:54.960931;3
1654;2018-04-10 13:35:50.029429;3
2933;2019-04-25 12:56:54.840947;3
1408;2017-08-31 09:12:33.436835;3
4300;2021-11-04 10:33:21.621753;3
4927;2023-04-12 21:58:11.254373;3
4867;2023-03-20 13:04:44.745366;3
5058;2023-05-31 13:01:20.181087;3
111;2014-07-14 16:28:47.739918;3
2011;2018-07-11 19:40:41.691497;3
4893;2023-03-31 13:03:10.795139;3
3844;2020-05-20 16:29:54.553291;3
259;2014-11-09 00:35:15.663609;3
86;2014-05-24 02:07:59.645022;3
216;2014-10-08 20:21:01.200419;3
3815;2020-04-25 14:17:32.497128;3
198;2014-09-25 01:48:10.717610;3
1074;2016-12-29 14:19:43.848815;3
4312;2021-11-14 16:23:46.036577;3
1587;2018-03-01 11:08:02.237789;3
1570;2018-02-09 10:55:26.704262;3
1360;2017-08-15 15:46:38.015180;3
2454;2018-08-30 12:41:02.532671;3
885;2016-07-02 20:17:32.051549;3
1611;2018-03-18 12:50:36.727761;3
300;2014-12-17 16:24:15.140038;2
1561;2018-02-07 09:59:06.476777;2
5104;2023-06-30 15:48:11.893410;2
925;2016-08-20 21:37:04.250406;2
125;2014-07-26 16:33:06.724262;2
87;2014-05-26 01:52:09.659609;2
1114;2017-02-13 13:44:21.457023;2
5091;2023-06-21 18:56:35.502967;2
173;2014-09-13 18:09:07.282951;2
5101;2023-06-28 11:41:13.935541;2
584;2015-09-21 19:20:13.046872;2
112;2014-07-14 17:47:01.022935;2
192;2014-09-22 17:44:27.913241;2
3914;2020-09-08 17:52:57.183028;2
121;2014-07-24 15:08:57.556981;2
4345;2021-12-18 16:47:55.444138;2
1991;2018-07-11 12:22:07.141432;2
4449;2022-04-20 11:28:54.326922;2
169;2014-09-11 20:15:34.010878;2
5055;2023-05-29 21:26:27.739141;2
478;2015-05-29 20:34:49.621665;2
2624;2019-01-14 14:36:16.979204;2
3471;2019-10-02 22:54:27.683168;2
3801;2020-04-06 15:21:37.501298;2
257;2014-11-08 02:48:33.730587;2
3048;2019-05-05 22:15:16.468153;2
747;2016-03-03 21:34:43.827148;2
1161;2017-04-06 15:00:22.350196;2
655;2015-12-10 15:05:01.853516;2
294;2014-12-13 17:33:42.620852;2
4056;2021-04-22 20:13:01.483342;2
443;2015-04-29 13:18:24.074275;2
967;2016-09-21 11:48:27.286898;2
4795;2023-01-30 08:01:55.296617;2
377;2015-03-05 20:20:14.711272;2
4314;2021-11-15 20:33:36.662794;2
262;2014-11-12 15:24:23.479966;2
4845;2023-03-07 11:58:21.794428;2
2894;2019-04-25 12:56:53.999499;2
1750;2018-06-03 23:50:31.282737;2
748;2016-03-04 10:35:21.655484;2
4487;2022-05-11 11:23:01.364479;2
256;2014-11-05 20:40:24.419941;2
529;2015-07-27 19:09:25.248378;2
779;2016-03-21 13:05:49.948123;2
4770;2023-01-09 15:48:39.202292;2
81;2014-05-13 14:23:34.737556;2
391;2015-03-19 20:05:15.920565;2
1177;2017-04-29 12:48:51.847682;2
2684;2019-02-25 22:33:28.891633;2
167;2014-09-11 14:38:14.790476;2
5011;2023-05-04 22:06:20.936748;2
784;2016-03-24 17:28:18.350315;2
144;2014-08-11 13:31:41.265469;2
4706;2022-11-09 13:45:04.445858;2
2267;2018-07-30 08:06:02.196355;2
423;2015-04-16 14:29:24.926806;2
247;2014-10-27 23:55:29.961463;2
4686;2022-10-19 14:29:54.791635;1
1993;2018-07-11 13:35:46.219312;1
5007;2023-05-03 16:38:52.806550;1
4216;2021-07-29 12:10:50.688667;1
5056;2023-05-29 21:50:06.433404;1
4301;2021-11-04 15:12:27.186751;1
1798;2018-06-30 17:31:25.166178;1
194;2014-09-22 23:12:57.815607;1
5067;2023-06-04 22:04:21.557822;1
4635;2022-09-04 04:53:27.804019;1
2333;2018-08-06 13:41:40.300287;1
4206;2021-07-21 15:23:55.222951;1
401;2015-03-29 20:16:46.250615;1
629;2015-11-02 17:49:03.007395;1
918;2016-08-10 01:41:02.837020;1
4956;2023-04-26 11:44:32.779137;1
189;2014-09-20 14:06:45.696069;1
4210;2021-07-26 12:00:02.301041;1
4757;2022-12-28 13:28:28.492298;1
5034;2023-05-21 16:23:13.235640;1
4907;2023-04-05 14:10:06.111401;1
1162;2017-04-08 01:33:23.233950;1
4751;2022-12-23 09:12:05.058475;1
2697;2019-03-06 22:11:54.803519;1
2623;2019-01-12 19:21:26.676024;1
120;2014-07-23 14:07:09.144348;1
4858;2023-03-14 07:00:22.633776;1
1255;2017-06-20 18:07:31.084565;1
4813;2023-02-12 21:49:26.893267;1
4605;2022-08-13 10:02:19.890274;1
1423;2017-09-15 05:51:00.490453;1
4938;2023-04-16 12:41:54.553915;1
2529;2018-10-16 19:04:15.378186;1
4836;2023-03-01 21:45:28.320994;1
1008;2016-10-28 11:49:29.663887;1
477;2015-05-25 14:04:27.350029;1
4910;2023-04-06 13:26:25.545954;1
4015;2021-02-27 21:49:52.515030;1
4864;2023-03-18 00:53:02.820355;1
2290;2018-08-01 13:32:34.113237;1
21;2013-11-08 11:56:38.258479;1
2509;2018-09-29 23:46:22.516740;1
4634;2022-09-03 01:02:00.136259;1
683;2016-01-08 18:36:57.753375;1
2507;2018-09-29 21:59:03.717510;1
587;2015-09-25 23:27:19.675168;1
3339;2019-06-05 18:13:18.870605;1
5093;2023-06-21 22:42:22.553755;1
1359;2017-08-15 09:11:00.262511;1
4786;2023-01-20 11:50:13.345986;1
4297;2021-10-30 14:10:28.162362;1
155;2014-08-26 14:40:29.746755;1
170;2014-09-11 20:48:28.345275;1
4580;2022-07-18 17:40:15.067150;1
2111;2018-07-17 16:18:17.335965;1
131;2014-07-31 14:19:45.788970;1
3858;2020-06-01 14:41:42.029288;1
661;2015-12-11 12:03:26.795637;1
1859;2018-07-08 12:23:02.028551;1
3465;2019-09-26 22:28:59.856162;1
3605;2019-12-03 14:36:32.433825;1
4716;2022-11-15 13:33:42.507407;1
2539;2018-10-22 21:23:54.153080;1
1525;2017-12-21 18:47:05.340148;1
4748;2022-12-18 02:14:08.988231;1
1182;2017-05-07 04:13:05.509420;1
3932;2020-10-02 11:12:51.968551;1
4856;2023-03-13 07:22:25.132869;1
2276;2018-07-31 08:11:34.060335;1
4525;2022-06-06 15:02:05.039000;1
3826;2020-05-04 11:50:38.322087;1
2554;2018-11-02 16:01:30.733086;0
1812;2018-07-06 15:14:51.757432;0
3284;2019-05-06 08:55:36.387263;0
332;2015-01-25 11:47:38.187908;0
3370;2019-07-05 19:58:34.135381;0
1275;2017-07-21 11:04:14.674529;0
3367;2019-07-03 22:21:23.241740;0
3942;2020-10-22 13:03:40.526752;0
3281;2019-05-06 08:55:33.771194;0
1107;2017-02-02 08:16:31.683268;0
4834;2023-02-28 12:41:14.527457;0
3943;2020-10-23 11:07:53.722892;0
4868;2023-03-21 12:23:30.162600;0
457;2015-05-09 22:37:21.242901;0
1760;2018-06-06 23:52:26.651881;0
4880;2023-03-26 01:15:56.915180;0
1947;2018-07-10 08:40:05.083899;0
2095;2018-07-16 16:33:38.087709;0
3424;2019-08-19 14:26:05.648736;0
5077;2023-06-10 18:26:07.926044;0
4812;2023-02-12 20:07:51.116526;0
302;2014-12-20 14:15:20.430611;0
736;2016-02-26 13:51:45.113466;0
4663;2022-09-27 16:53:37.355866;0
4242;2021-08-25 09:51:11.319333;0
2578;2018-11-23 05:20:57.720232;0
3637;2020-01-09 22:21:26.184345;0
3416;2019-08-09 19:58:34.418760;0
1352;2017-08-03 05:18:24.383209;0
1267;2017-07-06 04:51:16.905235;0
2639;2019-01-28 01:26:22.337381;0
367;2015-03-01 12:59:20.897627;0
572;2015-09-07 10:31:03.975014;0
1020;2016-11-16 13:44:44.413767;0
2222;2018-07-25 19:45:59.066415;0
4492;2022-05-13 15:56:57.737244;0
2091;2018-07-16 10:07:52.135176;0
2216;2018-07-25 15:15:54.896450;0
3898;2020-08-16 23:05:47.244308;0
558;2015-08-27 14:50:10.361334;0
1720;2018-05-19 16:51:26.890673;0
4177;2021-06-29 09:19:53.736679;0
3531;2019-10-24 11:34:24.695541;0
1538;2018-01-11 10:10:09.181141;0
598;2015-10-05 12:30:28.507478;0
2458;2018-08-31 15:54:07.461987;0
2221;2018-07-25 19:03:32.656349;0
4002;2021-02-09 17:14:22.862876;0
3902;2020-08-18 17:07:44.829770;0
2505;2018-09-29 01:26:04.402053;0
1051;2016-12-12 14:53:28.741001;0
1424;2017-09-15 10:02:14.275333;0
287;2014-12-08 07:22:19.632213;0
3238;2019-05-06 08:54:59.024373;0
2511;2018-09-30 11:00:36.892037;0
2694;2019-03-05 11:50:43.231338;0
752;2016-03-07 04:39:26.109537;0
5120;2023-07-12 10:47:50.689501;0
290;2014-12-11 09:38:08.352840;0
4261;2021-09-15 10:37:06.997214;0
1716;2018-05-18 17:37:29.227495;0
5002;2023-05-02 12:30:46.761442;0
1735;2018-05-29 17:07:33.089492;0
4475;2022-05-04 21:34:33.990719;0
4843;2023-03-06 15:26:13.526176;0
1357;2017-08-11 13:18:47.631525;0
774;2016-03-18 22:04:10.745962;0
1584;2018-02-27 13:43:28.137819;0
4050;2021-04-12 19:14:12.818527;0
864;2016-06-03 18:08:29.823706;0
2339;2018-08-06 23:32:05.979021;0
4387;2022-02-07 13:06:26.500825;0
3385;2019-07-16 13:54:37.866749;0
5147;2023-07-28 20:45:12.437373;0
4820;2023-02-19 01:22:44.328008;0
1726;2018-05-26 13:34:58.241330;0
5092;2023-06-21 21:26:51.895424;0
4230;2021-08-12 16:17:09.817943;0
869;2016-06-14 13:42:32.864323;0
833;2016-05-03 10:24:30.465415;0
2905;2019-04-25 12:56:54.262648;0
2645;2019-01-30 11:40:51.873398;0
2649;2019-02-02 12:13:14.949095;0
3349;2019-06-15 00:42:30.673846;0
4005;2021-02-14 17:47:29.550216;0
3333;2019-05-30 22:48:33.199984;0
2326;2018-08-05 10:33:44.018825;0
4567;2022-07-07 19:35:19.167260;0
2928;2019-04-25 12:56:54.739270;0
3662;2020-01-26 20:39:38.887578;0
992;2016-10-13 14:09:49.990567;0
1013;2016-11-08 11:53:11.422635;0
2416;2018-08-21 20:53:12.556416;0
894;2016-07-14 20:59:55.312291;0
4178;2021-06-29 16:41:26.077586;0
1157;2017-04-02 12:34:13.745557;0
561;2015-08-28 12:25:01.418083;0
213;2014-10-07 10:58:40.466304;0
4937;2023-04-16 09:14:02.418095;0
3872;2020-06-18 23:24:25.559520;0
517;2015-07-18 19:32:59.704947;0
4207;2021-07-22 23:22:21.188253;0
3731;2020-02-21 11:47:25.285203;0
1873;2018-07-08 15:41:23.015219;0
1957;2018-07-10 15:51:51.325924;0
3352;2019-06-17 19:11:36.805045;0
129;2014-07-29 19:32:57.885298;0
2102;2018-07-16 22:41:41.265985;0
4226;2021-08-10 14:42:56.041470;0
4840;2023-03-03 16:01:23.304304;0
4703;2022-11-08 04:00:45.909809;0
5130;2023-07-20 08:25:57.446228;0
2913;2019-04-25 12:56:54.431048;0
1838;2018-07-07 16:56:47.327717;0
1181;2017-05-05 17:23:11.638837;0
4340;2021-12-14 18:10:51.937329;0
5132;2023-07-20 23:11:00.872259;0
1491;2017-11-11 16:45:33.655664;0
3721;2020-02-14 13:01:21.782587;0
1023;2016-11-17 17:36:08.541369;0
1172;2017-04-24 14:38:46.512587;0
4251;2021-09-06 12:17:32.469038;0
2107;2018-07-17 12:37:15.898061;0
2903;2019-04-25 12:56:54.229558;0
890;2016-07-06 20:09:48.452469;0
335;2015-01-28 17:27:57.432839;0
1596;2018-03-09 11:58:02.519092;0
4662;2022-09-26 19:23:25.231322;0
1756;2018-06-05 17:34:22.575053;0
1695;2018-05-06 09:55:31.946490;0
4364;2022-01-13 15:45:22.860603;0
515;2015-07-16 15:12:30.033007;0
3799;2020-04-02 15:42:25.852529;0
1768;2018-06-11 18:59:02.047033;0
5129;2023-07-19 17:51:20.723239;0
827;2016-04-25 17:13:14.010041;0
3896;2020-08-14 00:06:18.591109;0
254;2014-11-05 01:39:20.002866;0
1605;2018-03-15 00:05:29.581078;0
4097;2021-05-29 17:26:57.933848;0
952;2016-09-06 15:50:45.679243;0
4023;2021-03-09 13:07:02.204241;0
3647;2020-01-16 15:11:02.489304;0
2489;2018-09-20 17:07:16.454317;0
3655;2020-01-22 16:08:57.665739;0
2358;2018-08-08 23:02:32.635008;0
2517;2018-10-05 02:52:36.899656;0
4205;2021-07-19 15:33:16.794067;0
5115;2023-07-09 20:33:52.474886;0
610;2015-10-15 16:36:01.512454;0
1482;2017-10-27 13:48:56.168931;0
1581;2018-02-26 19:43:05.892018;0
2268;2018-07-30 12:06:10.400087;0
1796;2018-06-25 18:23:38.415423;0
601;2015-10-08 18:01:50.519433;0
4787;2023-01-20 18:25:49.096360;0
3713;2020-02-11 09:21:13.602239;0
5005;2023-05-03 13:14:28.859336;0
4476;2022-05-05 11:00:01.918935;0
4571;2022-07-11 17:00:39.030947;0
4941;2023-04-19 16:13:48.959309;0
3917;2020-09-12 11:16:06.477483;0
1425;2017-09-18 12:15:26.520998;0
678;2016-01-03 22:13:24.076599;0
812;2016-04-19 10:46:23.306364;0
3620;2019-12-14 15:09:24.690407;0
510;2015-07-10 16:33:59.730077;0
579;2015-09-17 16:03:32.789207;0
3807;2020-04-16 14:47:53.465012;0
2280;2018-07-31 12:03:29.175720;0
28;2013-11-28 18:43:03.927419;0
212;2014-10-06 11:48:35.265188;0
1545;2018-01-16 08:02:33.988004;0
830;2016-05-01 13:49:34.165555;0
4550;2022-06-26 17:36:26.531904;0
4124;2021-06-16 23:13:05.934325;0
4404;2022-02-28 17:47:58.032953;0
3869;2020-06-10 12:07:31.615976;0
1034;2016-11-24 07:31:29.287727;0
720;2016-02-13 18:46:58.032400;0
4439;2022-04-14 11:02:41.978206;0
2003;2018-07-11 16:46:10.457075;0
330;2015-01-23 16:43:42.900346;0
1903;2018-07-09 11:24:35.666827;0
451;2015-05-06 12:25:22.685011;0
1634;2018-03-28 10:53:10.939246;0
1363;2017-08-17 10:56:35.079517;0
5135;2023-07-23 11:13:20.614703;0
2208;2018-07-25 01:10:55.525721;0
613;2015-10-17 20:59:18.512289;0
1042;2016-12-01 14:40:52.637876;0
5061;2023-06-01 19:09:52.555891;0
2371;2018-08-11 17:55:57.730152;0
5080;2023-06-14 07:24:54.632904;0
3706;2020-02-07 21:49:00.712886;0
3326;2019-05-28 12:21:12.671119;0
